B	cDC1	cDC2	eos	mon	neu	pDC	mye	mouse	treatment	exp
0	12.65086128	13.62154416	11.02293186	0	14.27941796	11.95914184	12.48181418	90	PBS	DL72
14.27441289	9.94221107	0	0	0	0	0	0	90	PBS	DL72
8.028793493	0	0	0	0	11.48797867	0	9.571596569	90	PBS	DL72
0	0	0	0	8.393383569	0	0	7.402242529	90	PBS	DL72
0	9.630458896	10.63838882	0	0	0	0	0	90	PBS	DL72
0	0	0	9.938066161	0	0	0	9.207650752	90	PBS	DL72
0	0	0	0	0	0	7.814095843	0	90	PBS	DL72
0	11.51127703	0	9.690432783	0	0	0	8.960017379	90	PBS	DL72
11.73090459	0	0	0	0	0	0	0	90	PBS	DL72
0	0	0	0	0	9.992731682	0	8.076349673	90	PBS	DL72
0	0	0	0	0	3.666788526	0	1.778681322	90	PBS	DL72
0	10.187128	12.6437392	0	0	0	0	0	90	PBS	DL72
0	0	0	0	8.002288462	0	0	7.011147802	90	PBS	DL72
7.195064818	13.46094304	11.72778176	11.05699748	0	11.90301895	12.746512	10.86413296	90	PBS	DL72
0	0	0	2.204722801	5.843244753	0	0	4.8853043	90	PBS	DL72
0	9.357525606	0	0	0	0	0	0	90	PBS	DL72
0	0	0	8.958678052	0	0	0	8.22826269	90	PBS	DL72
9.768204459	8.999580535	9.612520557	0	0	0	9.681768467	0	90	PBS	DL72
9.421895133	0	9.580312984	0	0	0	0	0	90	PBS	DL72
0	10.91669002	0	0	0	0	11.65881444	0	90	PBS	DL72
0	0	0	0	8.799433273	0	0	7.808292054	90	PBS	DL72
0	0	0	11.79241081	0	0	0	11.06199539	90	PBS	DL72
0	0	0	0	0	0	10.5737665	0	90	PBS	DL72
0	0	8.77586613	0	0	0	9.980083463	0	90	PBS	DL72
0	0	2.504050698	0	0	0	0	0	90	PBS	DL72
0	0	0	0	9.886287617	0	0	8.895146272	90	PBS	DL72
0	10.64954922	0	9.34344919	6.96772897	0	0	8.682200897	90	PBS	DL72
0	0	0	10.1785378	0	0	0	9.448122385	90	PBS	DL72
0	0	10.62297567	0	0	0	0	0	90	PBS	DL72
0	0	0	0	6.507893796	0	0	5.516766361	90	PBS	DL72
0	0	0	0	11.54059373	0	0	10.54945237	90	PBS	DL72
0	0	0	0	5.588720468	0	0	4.597666637	90	PBS	DL72
0	0	8.994119688	0	0	0	0	0	90	PBS	DL72
0	0	0	0	7.041576098	0	0	6.050439526	90	PBS	DL72
0	0	8.450588062	13.75380822	0	8.992796935	0	13.02600312	90	PBS	DL72
0	0	0	0	5.929318032	0	0	4.938220966	90	PBS	DL72
0	0	0	0	8.264353325	0	0	7.273212378	90	PBS	DL72
0	0	0	0	2.0639937	0	0	1.160040979	90	PBS	DL72
0	0	10.70078557	13.1149716	0	0	0	12.38455619	90	PBS	DL72
0	0	0	0	6.460547897	0	0	5.469421844	90	PBS	DL72
9.363938252	12.7468188	10.84042255	0	0	0	11.688732	0	90	PBS	DL72
0	0	0	10.16115202	0	0	0	9.430736611	90	PBS	DL72
0	0	0	0	7.610350264	0	0	6.619210438	90	PBS	DL72
0	0	0	7.81288735	0	0	0	7.082472475	90	PBS	DL72
0	0	0	0	6.281857159	0	0	5.290737683	90	PBS	DL72
10.55583265	0	0	0	0	0	0	0	90	PBS	DL72
0	0	0	9.636540024	0	0	0	8.906124621	90	PBS	DL72
