"B"	"cDC1"	"cDC2"	"E"	"eos"	"mon"	"neu"	"pDC"	"mye"	"mouse"	"treatment"	"exp"
0	8.2703486466509	0	0	0	0	0	0	0	"1126"	"PBS"	"DL191"
5.11079273181398	0	0	0	0	0	0	2.07836439216241	0	"1126"	"PBS"	"DL191"
13.8624458461899	0	0	0	0	0	3.8070745352328	9.53052414008257	2.67210909441973	"1126"	"PBS"	"DL191"
4.94375307669147	0	0	0	0	0	0	0	0	"1126"	"PBS"	"DL191"
0	0	0	0	0	0	0	7.52923477242223	0	"1126"	"PBS"	"DL191"
0	0	0	6.93433988774686	0	6.08160766777337	9.38580755484395	0	8.28482014070129	"1126"	"PBS"	"DL191"
1.87639158352057	0	0	0	0	0	0	0	0	"1126"	"PBS"	"DL191"
0	0	3.14893791201564	0	0	0	0	4.54760066155332	0	"1126"	"PBS"	"DL191"
0	0	2.79416931745719	0	0	0	0	2.07836439216241	0	"1126"	"PBS"	"DL191"
6.99432421407794	0	0	0	0	0	0	0	0	"1126"	"PBS"	"DL191"
7.0344441430203	10.2313656840781	2.24215412163197	0	0	1.7612921307302	0	9.32777840628119	0.85286955364156	"1126"	"PBS"	"DL191"
0	0	0	5.20160814628135	13.0892346184464	12.5559311217351	9.80502115697983	9.93656018447022	12.4939680752402	"1126"	"PBS"	"DL191"
1.87639158352057	0	0	0	0	0	0	0	0	"1126"	"PBS"	"DL191"
0	11.1686085120612	0	0	0	0	0	0	0	"1126"	"PBS"	"DL191"
0	0	0	1.76555150994791	0	0	0	2.07836439216241	0	"1126"	"PBS"	"DL191"
0	8.40423993030801	6.75530891471958	0	0	0	0	7.2462367689117	0	"1126"	"PBS"	"DL191"
0	9.2005095677162	10.9446748321454	0	6.08158083979591	0	0	7.8002289589406	5.00274203944852	"1126"	"PBS"	"DL191"
0	10.4031466230061	11.1293757795292	0	8.48239919601764	0	0	0	7.4035207903805	"1126"	"PBS"	"DL191"
5.28667261043659	0	0	0	0	0	0	4.57499365329476	0	"1126"	"PBS"	"DL191"
0	0	0	0	0	0	0	2.91283485249422	0	"1126"	"PBS"	"DL191"
0	1.75736400367351	0	0	0	0	2.71238452345975	0	1.60952446478425	"1126"	"PBS"	"DL191"
0	1.75736400367351	0	0	0	0	0	0	0	"1126"	"PBS"	"DL191"
5.49899639164684	0	9.7595401898926	8.82799993172404	10.4067758554938	11.7143854318398	11.5892492995794	8.71415370309175	11.3779744637293	"1126"	"PBS"	"DL191"
8.12930339278632	0	0	11.9463912770669	0	0	4.94872869738311	0	3.80991012200071	"1126"	"PBS"	"DL191"
0	0	0	4.68036692806568	0	0	0	0	0	"1126"	"PBS"	"DL191"
10.1397687605345	0	0	0	0	0	0	0	0	"1126"	"PBS"	"DL191"
0	0	0	1.76555150994791	0	0	0	0	0	"1126"	"PBS"	"DL191"
0	0	0	0	0	3.43710724936851	7.13401286054044	0	6.02073458344866	"1126"	"PBS"	"DL191"
0	0	1.58092795354992	0	0	0	0	0	0	"1126"	"PBS"	"DL191"
2.70444433937686	0	0	0	0	0	0	0	0	"1126"	"PBS"	"DL191"
0	0	11.0587498840185	0	7.34076990000168	0	0	0	6.26189438467385	"1126"	"PBS"	"DL191"
3.52749970604024	0	2.24215412163197	0	0	0	0	2.35923284391541	0	"1126"	"PBS"	"DL191"
0	9.03837481744698	0	0	0	3.34201393773376	0	0	2.2725331210731	"1126"	"PBS"	"DL191"
0	0	0	0	6.45868795793292	0	0	0	5.37982800870097	"1126"	"PBS"	"DL191"
0	0	0	0	0	0	0	1.69164172808288	0	"1126"	"PBS"	"DL191"
5.52474804763402	0	0	4.62630953101112	0	0	0	0	0	"1126"	"PBS"	"DL191"
7.00595223273989	8.92196859276485	0	12.1156257496959	10.9487626164257	11.5837292748493	12.8612573184627	0	12.0956084107519	"1126"	"PBS"	"DL191"
2.55189914986693	0	0	0	0	0	0	0	0	"1126"	"PBS"	"DL191"
0	0	0	0	1.76126684118758	0	0	0	0.85286955364156	"1126"	"PBS"	"DL191"
4.58279350683258	0	0	6.11787339675573	7.53190463048265	5.54905197953184	9.49174680928163	0	8.50970633567498	"1126"	"PBS"	"DL191"
0	0	0	0	0	3.60386779671378	0	0	2.53057950823039	"1126"	"PBS"	"DL191"
4.12160643025882	0	0	0	10.4963660639116	12.8477346998443	11.3505250189344	0	12.035713975625	"1126"	"PBS"	"DL191"
0	0	9.61479473775048	0	0	0	0	7.56791360550886	0	"1126"	"PBS"	"DL191"
3.58802584554587	0	1.96304103843313	0	0	0	0	1.69164172808288	0	"1126"	"PBS"	"DL191"
8.16620794353936	0	0	0	0	0	0	0	0	"1126"	"PBS"	"DL191"
0	8.45458818910885	0	0	0	0	0	0	0	"1126"	"PBS"	"DL191"
9.27682510635022	0	0	13.6278782390081	10.6818305210157	4.8224317252544	8.20349631516784	0	9.68159709723398	"1126"	"PBS"	"DL191"
4.70537308967301	0	0	0	0	0	0	3.60376809867278	0	"1126"	"PBS"	"DL191"
7.7760241270865	11.8764488053643	12.762374681881	11.4034488870331	8.99952072060237	8.62142488867237	11.7947845901707	10.0062462028221	10.7593166250468	"1126"	"PBS"	"DL191"
5.97980059913208	0	0	0	0	0	0	0	0	"1126"	"PBS"	"DL191"
6.86773079105811	0	0	0	0	0	0	0	0	"1126"	"PBS"	"DL191"
5.00258793650709	0	0	3.87633775568257	0	0	0	0	0	"1126"	"PBS"	"DL191"
1.49842880922025	0	0	0	0	0	0	0	0	"1126"	"PBS"	"DL191"
0	0	2.46125627554904	0	0	0	0	0	0	"1126"	"PBS"	"DL191"
0	0	0	4.26176930725302	8.06989186025595	8.0502927279686	4.53263361557054	0	7.68812780370762	"1126"	"PBS"	"DL191"
7.52254103195169	0	3.61782034165897	0	0	0	3.17970422255288	12.0758202190534	2.05524888300772	"1126"	"PBS"	"DL191"
6.75298545263039	8.57516172912015	0	0	0	0	0	11.6247051724402	0	"1126"	"PBS"	"DL191"
0	0	0	0	0	2.15043900197873	0	0	1.16109071927198	"1126"	"PBS"	"DL191"
6.6205173610193	10.1251155240199	0	0	0	0	0	9.81720628157439	0	"1126"	"PBS"	"DL191"
5.19672941704406	0	2.46125627554904	0	0	0	0	2.07836439216241	0	"1126"	"PBS"	"DL191"
0	10.7360535753701	10.1874572521396	0	7.81920829113005	0	2.20926815276435	0	6.74373022077264	"1126"	"PBS"	"DL191"
0	0	0	0	0	0	0	4.29635949239365	0	"1126"	"PBS"	"DL191"
0	0	2.46125627554904	0	0	0	0	2.35923284391541	0	"1126"	"PBS"	"DL191"
6.76776400703556	0	0	7.61777081000725	9.4812664974749	11.8407077229484	13.0106215629239	12.0477261440548	12.1794741193378	"1126"	"PBS"	"DL191"
0	0	10.4043807628707	0	0	0	4.27677749920515	0	3.13920374920601	"1126"	"PBS"	"DL191"
7.31649206312476	11.8607035518645	10.8725584870301	0	4.72710831928078	7.2014926916594	7.82954905071983	12.1179603408752	7.16935199067147	"1126"	"PBS"	"DL191"
